index_all,info.dates,info.gender,info.match_type,info.outcome.by.runs,info.outcome.by.wickets,info.outcome.result,info.outcome.winner,info.player_of_match,info.teams,info.toss.decision,info.toss.winner,info.venue
660,"[datetime.date(2007, 2, 11)]",male,ODI,,10,,South Africa,['SM Pollock'],"['South Africa', 'Pakistan']",field,South Africa,Newlands
661,"[datetime.date(2007, 2, 14)]",male,ODI,,9,,South Africa,['SM Pollock'],"['South Africa', 'Pakistan']",bat,Pakistan,New Wanderers Stadium
662,"[datetime.date(2006, 12, 22)]",male,T20,18,,,Sri Lanka,['ST Jayasuriya'],"['New Zealand', 'Sri Lanka']",bat,New Zealand,Westpac Stadium
663,"[datetime.date(2006, 12, 26)]",male,T20,,5,,New Zealand,['JEC Franklin'],"['New Zealand', 'Sri Lanka']",field,New Zealand,Eden Park
664,"[datetime.date(2006, 12, 28)]",male,ODI,,7,,Sri Lanka,['ST Jayasuriya'],"['New Zealand', 'Sri Lanka']",bat,New Zealand,McLean Park
665,"[datetime.date(2007, 1, 2)]",male,ODI,,4,,New Zealand,['MJ Mason'],"['New Zealand', 'Sri Lanka']",field,New Zealand,Jade Stadium
666,"[datetime.date(2007, 1, 6)]",male,ODI,189,,,Sri Lanka,['ST Jayasuriya'],"['New Zealand', 'Sri Lanka']",bat,Sri Lanka,Eden Park
667,"[datetime.date(2007, 2, 16)]",male,ODI,,10,,New Zealand,['SE Bond'],"['New Zealand', 'Australia']",field,New Zealand,Westpac Stadium
668,"[datetime.date(2007, 2, 18)]",male,ODI,,5,,New Zealand,['LRPL Taylor'],"['New Zealand', 'Australia']",field,New Zealand,Eden Park
669,"[datetime.date(2007, 2, 20)]",male,ODI,,1,,New Zealand,['ML Hayden'],"['New Zealand', 'Australia']",bat,Australia,Seddon Park
670,"[datetime.date(2006, 12, 1)]",male,T20,,6,,India,['KD Karthik'],"['South Africa', 'India']",bat,South Africa,New Wanderers Stadium
671,"[datetime.date(2006, 9, 15)]",male,ODI,,5,,South Africa,['HH Dippenaar'],"['South Africa', 'Zimbabwe']",bat,Zimbabwe,Goodyear Park
672,"[datetime.date(2006, 9, 14)]",male,ODI,29,,,West Indies,['SR Tendulkar'],"['India', 'West Indies']",bat,India,Kinrara Academy Oval
673,"[datetime.date(2006, 9, 16)]",male,ODI,,,no result,,,"['Australia', 'India']",bat,Australia,Kinrara Academy Oval
674,"[datetime.date(2006, 9, 18)]",male,ODI,,3,,West Indies,['MEK Hussey'],"['Australia', 'West Indies']",bat,Australia,Kinrara Academy Oval
675,"[datetime.date(2006, 9, 20)]",male,ODI,16,,,India,['Harbhajan Singh'],"['India', 'West Indies']",bat,India,Kinrara Academy Oval
676,"[datetime.date(2006, 9, 22)]",male,ODI,18,,,Australia,['B Lee'],"['Australia', 'India']",bat,Australia,Kinrara Academy Oval
677,"[datetime.date(2006, 9, 24)]",male,ODI,127,,,Australia,['B Lee'],"['Australia', 'West Indies']",bat,Australia,Kinrara Academy Oval
678,"[datetime.date(2006, 8, 18), datetime.date(2006, 8, 19)]",male,ODI,,,no result,,,"['Sri Lanka', 'India']",bat,India,Sinhalese Sports Club Ground
679,"[datetime.date(2006, 9, 20)]",male,ODI,171,,,South Africa,['MV Boucher'],"['South Africa', 'Zimbabwe']",bat,South Africa,Sedgars Park
680,"[datetime.date(2006, 12, 7)]",male,ODI,,2,,Pakistan,['Inzamam-ul-Haq'],"['Pakistan', 'West Indies']",field,Pakistan,Iqbal Stadium
681,"[datetime.date(2006, 12, 10)]",male,ODI,,7,,Pakistan,['Naved-ul-Hasan'],"['Pakistan', 'West Indies']",field,Pakistan,Gaddafi Stadium
682,"[datetime.date(2006, 12, 13)]",male,ODI,,7,,West Indies,['MN Samuels'],"['Pakistan', 'West Indies']",bat,Pakistan,Multan Cricket Stadium
683,"[datetime.date(2006, 12, 16)]",male,ODI,,7,,Pakistan,['Naved-ul-Hasan'],"['Pakistan', 'West Indies']",field,Pakistan,National Stadium
684,"[datetime.date(2007, 6, 28)]",male,T20,15,,,West Indies,['PD Collingwood'],"['England', 'West Indies']",bat,West Indies,Kennington Oval
685,"[datetime.date(2007, 6, 29)]",male,T20,,5,,England,['OA Shah'],"['England', 'West Indies']",bat,West Indies,Kennington Oval
686,"[datetime.date(2007, 7, 1)]",male,ODI,79,,,England,['FH Edwards'],"['England', 'West Indies']",field,West Indies,Lord's
687,"[datetime.date(2007, 7, 4)]",male,ODI,61,,,West Indies,['S Chanderpaul'],"['England', 'West Indies']",field,England,Edgbaston
688,"[datetime.date(2007, 7, 7)]",male,ODI,93,,,West Indies,['DBL Powell'],"['England', 'West Indies']",bat,West Indies,Trent Bridge
689,"[datetime.date(2007, 8, 21)]",male,ODI,104,,,England,['IR Bell'],"['England', 'India']",field,India,The Rose Bowl
690,"[datetime.date(2007, 8, 24)]",male,ODI,9,,,India,['R Dravid'],"['England', 'India']",bat,India,County Ground
691,"[datetime.date(2007, 8, 27)]",male,ODI,42,,,England,['IR Bell'],"['England', 'India']",field,India,Edgbaston
692,"[datetime.date(2007, 8, 30)]",male,ODI,,3,,England,['SCJ Broad'],"['England', 'India']",bat,India,Old Trafford
693,"[datetime.date(2007, 9, 2)]",male,ODI,38,,,India,['SC Ganguly'],"['England', 'India']",field,England,Headingley
694,"[datetime.date(2007, 9, 5)]",male,ODI,,2,,India,['SR Tendulkar'],"['England', 'India']",bat,England,Kennington Oval
695,"[datetime.date(2007, 9, 8)]",male,ODI,,7,,England,['KP Pietersen'],"['England', 'India']",bat,India,Lord's
696,"[datetime.date(2006, 11, 27)]",male,ODI,,5,,Canada,['S Dhaniram'],"['Bermuda', 'Canada']",field,Canada,Sedgars Park
697,"[datetime.date(2006, 12, 2)]",male,ODI,,6,,Bermuda,['S Mukuddem'],"['Bermuda', 'Netherlands']",bat,Netherlands,Willowmoore Park
698,"[datetime.date(2006, 11, 30)]",male,ODI,,3,,Canada,['GR Codrington'],"['Bermuda', 'Canada']",field,Canada,Willowmoore Park
699,"[datetime.date(2006, 12, 1)]",male,ODI,,1,,Netherlands,['WF Stelling'],"['Canada', 'Netherlands']",field,Netherlands,Willowmoore Park
700,"[datetime.date(2006, 9, 18)]",male,ODI,,6,,South Africa,['AJ Hall'],"['South Africa', 'Zimbabwe']",bat,Zimbabwe,Buffalo Park
701,"[datetime.date(2006, 12, 3)]",male,ODI,,6,,Bangladesh,['SC Williams'],"['Bangladesh', 'Zimbabwe']",field,Bangladesh,Shaheed Chandu Stadium
702,"[datetime.date(2006, 12, 5)]",male,ODI,26,,,Bangladesh,['Abdur Razzak'],"['Bangladesh', 'Zimbabwe']",field,Zimbabwe,Shaheed Chandu Stadium
703,"[datetime.date(2006, 12, 8)]",male,ODI,,8,,Bangladesh,['Aftab Ahmed'],"['Bangladesh', 'Zimbabwe']",field,Bangladesh,Shere Bangla National Stadium
704,"[datetime.date(2006, 12, 9)]",male,ODI,,3,,Bangladesh,['GB Brent'],"['Bangladesh', 'Zimbabwe']",field,Bangladesh,Shere Bangla National Stadium
705,"[datetime.date(2007, 2, 2)]",male,ODI,56,,,Canada,['JM Davison'],"['Bermuda', 'Canada']",field,Bermuda,Gymkhana Club Ground
706,"[datetime.date(2007, 2, 4)]",male,ODI,,8,,Netherlands,['RN ten Doeschate'],"['Bermuda', 'Netherlands']",field,Netherlands,Ruaraka Sports Club Ground
707,"[datetime.date(2007, 2, 4)]",male,ODI,77,,,Scotland,['RM Haq'],"['Kenya', 'Scotland']",bat,Scotland,Gymkhana Club Ground
708,"[datetime.date(2007, 2, 5)]",male,ODI,158,,,Kenya,['TM Odoyo'],"['Kenya', 'Canada']",bat,Kenya,Jaffery Sports Club Ground
709,"[datetime.date(2007, 1, 27)]",male,ODI,,3,,West Indies,['MN Samuels'],"['India', 'West Indies']",field,West Indies,"MA Chidambaram Stadium, Chepauk"
710,"[datetime.date(2007, 1, 31)]",male,ODI,160,,,India,['SR Tendulkar'],"['India', 'West Indies']",field,West Indies,Indian Petrochemicals Corporation Limited Sports Complex Ground
711,"[datetime.date(2007, 2, 8)]",male,ODI,,,no result,,,"['India', 'Sri Lanka']",field,India,Eden Gardens
712,"[datetime.date(2007, 2, 11)]",male,ODI,5,,,Sri Lanka,['KC Sangakkara'],"['India', 'Sri Lanka']",field,India,Madhavrao Scindia Cricket Ground
713,"[datetime.date(2007, 2, 17)]",male,ODI,,7,,India,['LPC Silva'],"['India', 'Sri Lanka']",field,India,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium
714,"[datetime.date(2007, 2, 14)]",male,ODI,,5,,India,['Z Khan'],"['India', 'Sri Lanka']",bat,Sri Lanka,"Nehru Stadium, Fatorda"
715,"[datetime.date(2007, 8, 16)]",male,ODI,,7,,India,['G Gambhir'],"['Scotland', 'India']",field,India,Titwood
716,"[datetime.date(2007, 5, 10)]",male,ODI,,5,,India,['MS Dhoni'],"['Bangladesh', 'India']",bat,Bangladesh,Shere Bangla National Stadium
717,"[datetime.date(2007, 5, 12)]",male,ODI,46,,,India,['G Gambhir'],"['Bangladesh', 'India']",bat,India,Shere Bangla National Stadium
718,"[datetime.date(2007, 9, 11)]",male,T20,,8,,South Africa,['CH Gayle'],"['South Africa', 'West Indies']",field,South Africa,New Wanderers Stadium
719,"[datetime.date(2007, 9, 12)]",male,T20,,9,,New Zealand,['MR Gillespie'],"['Kenya', 'New Zealand']",field,New Zealand,Kingsmead
720,"[datetime.date(2007, 9, 12)]",male,T20,51,,,Pakistan,['Shahid Afridi'],"['Pakistan', 'Scotland']",field,Scotland,Kingsmead
721,"[datetime.date(2007, 9, 12)]",male,T20,,5,,Zimbabwe,['BRM Taylor'],"['Australia', 'Zimbabwe']",bat,Australia,Newlands
722,"[datetime.date(2007, 9, 13)]",male,T20,,6,,Bangladesh,['Mohammad Ashraful'],"['Bangladesh', 'West Indies']",field,Bangladesh,New Wanderers Stadium
723,"[datetime.date(2007, 9, 13)]",male,T20,50,,,England,['KP Pietersen'],"['England', 'Zimbabwe']",bat,England,Newlands
724,"[datetime.date(2007, 9, 14)]",male,T20,172,,,Sri Lanka,['ST Jayasuriya'],"['Kenya', 'Sri Lanka']",field,Kenya,New Wanderers Stadium
725,"[datetime.date(2007, 9, 14)]",male,T20,,8,,Australia,['NW Bracken'],"['Australia', 'England']",bat,England,Newlands
726,"[datetime.date(2007, 9, 14)]",male,T20,,,tie,,['Mohammad Asif'],"['India', 'Pakistan']",field,Pakistan,Kingsmead
727,"[datetime.date(2007, 9, 15)]",male,T20,,7,,Sri Lanka,['ST Jayasuriya'],"['New Zealand', 'Sri Lanka']",bat,New Zealand,New Wanderers Stadium
