,match_id,for team,name,match_type,date,neutral,against,venue,runs,balls_faced
78,2170.0,Australia,DA Warner,T20,2013-08-29,,England,The Rose Bowl,1.0,5.0
79,2171.0,Australia,DA Warner,T20,2013-08-31,,England,Riverside Ground,53.0,47.0
80,2208.0,Australia,DA Warner,ODI,2012-08-28,1.0,Pakistan,Sharjah Cricket Stadium,5.0,13.0
81,2209.0,Australia,DA Warner,ODI,2012-08-31,1.0,Pakistan,Sheikh Zayed Stadium,24.0,68.0
82,2210.0,Australia,DA Warner,ODI,2012-09-03,1.0,Pakistan,Sharjah Cricket Stadium,21.0,33.0
83,2211.0,Australia,DA Warner,T20,2012-09-05,1.0,Pakistan,Dubai International Cricket Stadium,22.0,25.0
84,2212.0,Australia,DA Warner,T20,2012-09-07,1.0,Pakistan,Dubai International Cricket Stadium,36.0,23.0
85,2213.0,Australia,DA Warner,T20,2012-09-10,1.0,Pakistan,Dubai International Cricket Stadium,59.0,36.0
86,2251.0,Australia,DA Warner,ODI,2013-01-18,,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",4.0,11.0
87,2252.0,Australia,DA Warner,ODI,2013-01-20,,Sri Lanka,Sydney Cricket Ground,60.0,74.0
88,2253.0,Australia,DA Warner,ODI,2013-01-23,,Sri Lanka,Bellerive Oval,10.0,18.0
89,2254.0,Australia,DA Warner,T20,2013-01-26,,Sri Lanka,Stadium Australia,90.0,63.0
90,2255.0,Australia,DA Warner,T20,2013-01-28,,Sri Lanka,Melbourne Cricket Ground,7.0,6.0
91,2278.0,Australia,DA Warner,ODI,2013-06-08,,England,Edgbaston,9.0,21.0
92,2489.0,Australia,DA Warner,ODI,2014-01-12,,England,Melbourne Cricket Ground,65.0,74.0
93,2490.0,Australia,DA Warner,ODI,2014-01-17,,England,"Brisbane Cricket Ground, Woolloongabba",18.0,14.0
94,2491.0,Australia,DA Warner,ODI,2014-01-19,,England,Sydney Cricket Ground,71.0,72.0
